,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
146,916,50,5,0.60702902,0,44,1138.0565,Subsistence,No,Rice,No,305900,0,23,UseIrrigation,17.229992,23.494534,0,1860,5
147,917,65,3,3.035145,2.8248587,89.400925,174.95045,Diversifier,No,RiceAndMaize,Yes,1399309.5,0,23,UseIrrigation,27.403379,23.588245,611.11108,1138.2858,10
148,918,79,5,3.035145,0.44444445,50,74.131546,Subsistence,No,Rice,Yes,336600,0,23,UseIrrigation,17.766525,23.394173,676.88849,1138.2858,7
149,919,42,3,0.9105435,70.329674,26.041668,99.940308,Subsistence,No,Rice,Yes,149533.33,0,23,UseIrrigation,17.229992,23.494534,0,1138.2858,2
150,920,52,7,0.80937201,82.885902,52.573185,368.18668,Subsistence,No,Rice,Yes,117668.12,12.380516,83,ApplyFertilizer,25.033855,4.3918834,0,1312.6154,3
151,923,40,8,1.5175725,16.666666,42.14418,138.37889,Subsistence,Yes,RiceAndMaize,Yes,238064.55,0,83,ApplyFertilizer,15.547224,5.7613769,805.68878,1312.6154,7
152,924,45,8,1.618744,64.596275,69.78022,99.459824,Diversifier,No,RiceAndMaize,Yes,454446.94,76.046623,83,None,17.493134,3.7384036,805.68878,1312.6154,4
153,925,72,2,1.416401,76.264595,0,2177.3494,Diversifier,No,RiceAndMaize,Yes,589070.69,16.781557,83,None,16.705652,4.0163684,805.68878,1312.6154,4
154,926,66,4,0.50585753,41.558441,42.363113,304.43353,Subsistence,No,Rice,Yes,14209.362,0,83,None,17.045866,4.4194479,0,1312.6154,6
155,928,26,3,1.062,0.55248618,52.680721,681.73254,Diversifier,No,RiceMaizeAndVegit,Yes,202299.48,0,83,UseIrrigationAndFertilizerApplication,16.24103,5.7481875,805.68878,1312.6154,10
156,929,39,4,0.9105435,21.538462,46.875,214.15781,Diversifier,Yes,RiceAndMaize,Yes,182581.22,0,83,None,25.241495,4.7451982,805.68878,1312.6154,5
157,930,54,2,1.0117151,0.57388806,61.842918,688.92914,Diversifier,No,RiceAndMaize,Yes,217902.25,0,83,None,24.953814,6.0801482,805.68878,1312.6154,7
158,932,32,5,0.60702902,0.25974026,66.666672,634.23657,Subsistence,Yes,Rice,Yes,111587.7,55.941887,83,None,25.176956,4.6154642,0,1312.6154,10
159,933,36,5,1.618744,0.16051364,62.355778,384.8663,Subsistence,Yes,Rice,Yes,505814.84,33.516129,83,None,26.400732,3.979665,805.68878,1312.6154,9
160,934,49,5,0.80937201,0.12903225,73.719254,957.53247,Subsistence,Yes,Rice,Yes,159713.05,0,83,ApplyFertilizer,16.933517,3.5324085,0,1312.6154,2
161,935,46,8,5.2609181,21.919851,51.42857,127.473,Diversifier,No,RiceAndMaize,Yes,812607.13,34.254246,23,ApplyFertilizer,16.188538,19.013287,611.11108,1138.2858,7
162,937,56,6,0.60702902,25,66.666664,197.68413,Subsistence,No,Rice,Yes,26185.717,0,23,None,18.110115,19.419584,0,1138.2858,7
163,938,36,7,3.035145,76.749435,41.322315,145.95679,Subsistence,Yes,Rice,Yes,203469.39,0,23,None,26.439198,17.426989,0,1138.2858,4
164,939,28,3,0.50585753,39.200001,30.76923,247.10515,Subsistence,Yes,Rice,Yes,110304.77,0,23,ApplyFertilizer,18.654842,18.720961,0,1138.2858,8
165,940,53,4,1.1128865,25.210085,11.58674,106.92914,Subsistence,Yes,Rice,Yes,197545.19,0,23,None,16.64633,19.416456,611.11108,1138.2858,3
166,941,40,5,1.821087,100,50,428.31561,Subsistence,No,Rice,Yes,1304885.8,77.846977,23,None,18.255932,17.808403,0,1138.2858,10
167,943,26,3,5.0585752,100,77.888443,50.014084,Subsistence,No,VegitAndRice,Yes,569361.94,0,23,UseIrrigationAndFertilizerApplication,17.156662,18.610903,0,1138.2858,7
168,944,88,1,0.404686,1.9607843,33.333332,504.09451,Subsistence,No,Rice,Yes,181114.3,0,23,None,18.110004,19.924753,0,1138.2858,9
169,945,29,2,0.80937201,0.57306588,66.666664,862.39703,Subsistence,Yes,Rice,Yes,187614.3,0,23,None,25.118311,19.517048,0,1138.2858,10
170,946,30,4,0.70820051,73.333336,100,338.88708,Diversifier,No,Vegitables,Yes,141500,0,23,UseIrrigationAndFertilizerApplication,16.594004,19.81806,0,0,4
171,947,40,5,0.68796623,70.481926,100,482.58182,Subsistence,Yes,Rice,Yes,163142.86,45.053329,23,None,24.307262,20.020014,0,1138.2858,7
172,948,51,6,1.0117151,2.0270271,61.016949,438.85873,Subsistence,Yes,Rice,Yes,33138.098,0,23,None,18.110004,19.924753,0,1138.2858,7
173,949,34,3,0.60702902,63.529411,57.142857,560.10504,Subsistence,No,Rice,Yes,64274.074,0,23,None,18.245523,19.82189,0,1138.2858,1
174,950,64,3,1.416401,73.28244,66.091957,277.46381,Diversifier,No,RiceMaizeAndVegit,Yes,3568271,80.849365,23,None,17.94512,19.918657,611.11108,1138.2858,10
175,951,35,5,0.70820051,69.230766,74.78315,367.12766,Subsistence,Yes,VegitAndRice,Yes,40356.176,0,23,None,16.646494,19.516272,0,1138.2858,10
